"Name","Category","Location","Phone Number"
"Манастир Св. 40 Маченици","place_of_worship","","Orman"
"Св. Атанас","place_of_worship","","Kuchkovo"
"Crkva Sv.Tripun","place_of_worship","","Kuchkovo"
"Св. Петка","place_of_worship","","Volkovo"
"Св. Атанас","place_of_worship","","Volkovo"
"Sv. Krstovden","place_of_worship","","Kuchkovo"
"Sv. Spas-Kuckovo","place_of_worship","","Kuchkovo"
"Џамија Никиштане","place_of_worship","","Volkovo"
"Св. Никита","place_of_worship","","Banjane"
"Sv.Petka-Kuckovo","place_of_worship","","Kuchkovo"
"Evangelic-Methodist Church","place_of_worship","","Koleshino"
"Св. Илија","place_of_worship","","Brajchino"
"Црква Св. Ѓoрѓијa","place_of_worship","","Ohrid"
"Манастир Св. Андреј","place_of_worship","","Matka"
"Св. Никола","place_of_worship","","Shishevo"
"с.в Наум Охридски","place_of_worship","","Radishani"
"Света Петка","place_of_worship","","Skopje"
"Св. Илија","place_of_worship","","Kuchkovo"
"Св. Богородица","place_of_worship","","Saramzalino"
"Св. Богородица","place_of_worship","",""
"Св. Талалеј","place_of_worship","",""
"Манастир Св. Никола","place_of_worship","",""
"Manastir Sveta Bogorodica","place_of_worship","","Vetersko"
"Hayati Baba Teqe","place_of_worship","","Kichevo"
"Çulu Baba Teqe","place_of_worship","","Kichevo"
"Balla Mëhalla","place_of_worship","","Kichevo"
"Св. Стефан","place_of_worship","","Shipokno"
"Св. Преображение","place_of_worship","","Skochivir"
"Manastir Sveti Jovan","place_of_worship","","Vetersko"
"Св. Архангел Михаил","place_of_worship","","Kumanovo"
"Успение на Пресвета Богородица","place_of_worship","",""
"Св. Симеон Столпник","place_of_worship","","Kostin Dol"
"Теодор Тирон","place_of_worship","",""
"Св.Петка","place_of_worship","","Drachevo"
"Католичка црква","place_of_worship","","Strumica"
"Црква „Рождество на Пресвета Богородица“ - Ново Лисиче","place_of_worship","","Skopje"
"Црква „Св. Великомаченик Георгиј“","place_of_worship","","Skopje"
"Црква „Св. Апостоли Петар и Павле“","place_of_worship","","Skopje"
"Sv. Mina","place_of_worship","","Konjsko"
"Зејнел Абидин-пашина џамија","place_of_worship","","Ohrid"
"Црква „Св. Недела“ - Теново","place_of_worship","","Tenovo"
"Manastir Svetka Petka","place_of_worship","","Viniche"
"Манастир Св. Богородица Елеуса","place_of_worship","","Veljusa"
"Манастир Св. Леонтиј","place_of_worship","","Vodocha"
"Sveta Petka","place_of_worship","","Gostivar"
"Manastir Sveta petka","place_of_worship","","Capari"
"Црква „Рождество на Пресвета Богородица“","place_of_worship","","Skopje"
"Св. Мина","place_of_worship","","Vrutok"
"Св. Атанасиј","place_of_worship","","Gorno Jelovce"
"Црква Св. Николе","place_of_worship","","Mavrovo"
"Св. Јован Крстител","place_of_worship","","Dzvegor"
"Св. Богородица Балаклија - манастир","place_of_worship","",""
"Џамија - Султан Фатих Мехмет II","place_of_worship","",""
"Св. Наум","place_of_worship","",""
"Св. Климент Охридски","place_of_worship","",""
"Св. Петка","place_of_worship","",""
"Св. Ѓорги","place_of_worship","","Star Istevnik"
"Св. Пантелејмон","place_of_worship","",""
"Св.Пантелејмон","place_of_worship","","Brest"
"св. Петка","place_of_worship","",""
"Св. Јован Крстител","place_of_worship","",""
"џа́мија","place_of_worship","","Toplica"
"џа́мија","place_of_worship","","Debreshe"
"Church","place_of_worship","","Vrapchishte"
"џа́мија","place_of_worship","","Dobri Dol"
"Крст","place_of_worship","","Skopje"
"Св.Илија","place_of_worship","","Jankovec"
"џа́мија","place_of_worship","","Vrapchishte"
"Џамиа","place_of_worship","","Pirok"
"Св. Никола","place_of_worship","","Jankovec"
"Манастир Света Петка","place_of_worship","","Velgoshti"
"Dzamija","place_of_worship","","Dolno Palchishte"
"Dzamija","place_of_worship","","Kamenjane"
"Dzamija","place_of_worship","","Kamenjane"
"Dzamija","place_of_worship","","Bogovinje"
"Ss. Cyril and Methodius – Црква Св.Кирил и Методиј","place_of_worship","","Mavrovi Anovi"
"Sveti Spas","place_of_worship","","Matka"
"Манастир Св. 15 Маченици","place_of_worship","","Strumica"
"Св. Никола","place_of_worship","","Velgoshti"
"Sveta Nedela","place_of_worship","","Matka"
"Св. Архангел Михаил","place_of_worship","","Ohrid"
"Св. Троица","place_of_worship","","Bitola"
"Свети Тројца Архиереи","place_of_worship","","Racha"
"Свети Атанасиј Велики Архиепископ Александриски","place_of_worship","","Ramne"
"Црква „Свети Илија„","place_of_worship","","Gorno Lakocherej"
"Црква „Свети Спас“","place_of_worship","","Gorno Lakocherej"
"Св. Ѓорѓија","place_of_worship","","Petrovec"
"Св. Ѓорѓи","place_of_worship","","Garvan"
"Sveti Spas","place_of_worship","","Viniche"
"Assumption of Mary","place_of_worship","",""
"Свети Пантелејмон","place_of_worship","","Veles"
"Свети Јован Крстител","place_of_worship","","Skopje"
"Св. Ѓорѓија","place_of_worship","","Chiflik"
"Св. Никола","place_of_worship","",""
"Св. Кирил и Методиј","place_of_worship","","Stenje"
"Св. Богородица Захумска","place_of_worship","","Trpejca"
"Црква св. Jован","place_of_worship","","German"
"Св. Ѓорѓи","place_of_worship","","Lazaropole"
"Haci Balaban 1440","place_of_worship","","Skopje"
"Mosque","place_of_worship","","Skopje"
"Mosque","place_of_worship","","Dlapkin Dol"
"Christijanski Zentar","place_of_worship","","Skopje"
"Church","place_of_worship","","Pesochani"
"Евангелско Методистичка Црква","place_of_worship","","Strumica"
"Свети Илија","place_of_worship","","Star Dojran"
"Православна црква ""Свети Илија""","place_of_worship","",""
"Св. Спас","place_of_worship","","Oktisi"
"Свети Атанас","place_of_worship","","Nizhepole"
"Свети Спас","place_of_worship","","Bitola"
"Свети Димитриј","place_of_worship","","Brusnik"
"Света Ана","place_of_worship","","Gjavato"
"Св. Петка","place_of_worship","","Bitola"
"Св. Петка","place_of_worship","","Nizhepole"
"Црква Рождество на Пресвета Богородица и Света Петка","place_of_worship","","Ohrid"
"Св. Кирил и Методиј","place_of_worship","","Leshok"
"Црква Св. Петка","place_of_worship","","Greshnica"
"Света Борогодица Челница","place_of_worship","","Ohrid"
"Saint Joachim Osogovski","place_of_worship","",""
"Мали Свети Врачи - Св. Кузман и Дамјан","place_of_worship","","Ohrid"
"Manastir Svetog Ilije","place_of_worship","","Velgoshti"
"Muslim mosque","place_of_worship","","Voinovikj"
"4 Halifët","place_of_worship","","Kichevo"
"Bela Kula","place_of_worship","","Kichevo"
"Teqja  ""ADËR BABA""","place_of_worship","","Kichevo"
"Muftinia e Kërçovës","place_of_worship","","Kichevo"
"Свети Апостол и евангелист Лука","place_of_worship","",""
"Црква Св. Никол","place_of_worship","","Kichinica"
"Евангелска црква Струга","place_of_worship","",""
"Св. Атанасиј Велики","place_of_worship","","Podvis"
"Успение на Пресвета Богородица","place_of_worship","",""
"Sveti Nikola","place_of_worship","","Nova Breznica"
"Sedlarevo Mosque","place_of_worship","","Sedlarevo"
"Gurgurnica Mosque","place_of_worship","","Gurgurnica"
"St. John Kaneo","place_of_worship","","Ohrid"
"Ali Pasha Mosque","place_of_worship","","Ohrid"
"Sveti Spiridon","place_of_worship","","Staro Selo"
"Nur","place_of_worship","","Plasnica"
"Xhamia Alikurtaj","place_of_worship","","Greshnica"
"Св. Спас","place_of_worship","",""
"Св. Архангел Михаил","place_of_worship","","Sopotnica"
"Стоби","археолошки наоѓалишта","043251088","Велес"
"Скупи","археолошки наоѓалишта","023096167","Скопје"
"НУ Завод и музеј-Охрид","археолошки наоѓалишта музеи заштита на културни добра","046231300","Охрид"
"Хераклеа Линкестис","археолошки наоѓалишта","047235329","Битола"
"Залив на коските Плоча Миќов Град","археолошки наоѓалишта","046231300","Охрид"
"Аквадукт","археолошки наоѓалишта","","Скопје"
"Тумба Маџари","археолошки наоѓалишта","","Скопје"
"Тврдина Кале","археолошки наоѓалишта","","Скопје"
"Капан Ан","археолошки наоѓалишта","","Скопје"
"Куршумли Ан","археолошки наоѓалишта","","Скопје"
"Сули Ан","археолошки наоѓалишта","","Скопје"
"Тауресиум","археолошки наоѓалишта","","Скопје"
"Самоилова тврдина","археолошки наоѓалишта","","Охрид"
"Гробница на Синан Челеби","археолошки наоѓалишта","","Охрид"
"Орбита","museum","048413165","Прилеп"
"Јавор","museum","076469540","Кавадарци"
"Јехони","museum","071753911","Кичево"
"Џепчиште-најмалиот етнолошки музеј во светот","museum","070555165","Тетово"
"Агриа продавница 4","museum","072212947","Велес"
"Ал-би","museum","070708937","Демир Хисар"
"Амако","museum","070207950","Битола"
"Археолошки Музеј на Република Северна Македонија","museum","023233999","Скопје"
"Бамбус","museum","070434208","Кичево"
"Благоја Луличевски-Железничарот","museum","070773090","Скопје"
"Блаце","museum","070690714","Скопје"
"Бомат графикс","museum","023161819","Скопје"
"Брвнара Фром Лика","museum","075290936","Куманово"
"Вез Дизајн","museum","070938988","Велес"
"Вендита","museum","043417012","Кавадарци"
"Вивадент","museum","048412820","Прилеп"
"Вински музеј","museum","075288427","Кавадарци"
"Вкус","museum","070923272","Кавадарци"
"Воен Музеј","museum","023118421","Скопје"
"Градски музеј","museum","076337467","Крива Паланка"
"Грачан Трејд","museum","070243784","Скопје"
"Грижо Ас","museum","078350880","Кавадарци"
"Д-р Мирчев","museum","075656373","Неготино"
"Д-р Панче Зафиров","museum","043220579","Велес"
"Де Фемили Шоп","museum","071225944","Кичево"
"Дико текс","museum","078458710","Кичево"
"Дом на културата Димитар Беровски","museum","033471146","Берово"
"Еми Медикус","museum","043410440","Кавадарци"
"Еуро-99","museum","071233714","Кичево"
"Завод за заштита на споменици на културата","museum","032392044","Штип"
"Завод за заштита на спомениците на културата и Музеј","museum","034345925","Струмица"
"Завод и музеј","museum","078362378","Битола"
"Западна Македонија во Н.О.В.","museum","045222949","Кичево"
"Збирка на реткости Филип","museum","047286666","Битола"
"Илирија","museum","071226546","Кичево"
"Историски музеј","museum","048477126","Крушево"
"Историски музеј-Илинденско Востание","museum","070619597","Крушево"
"Каспер","museum","075324887","Кавадарци"
"Книго-промет","museum","045223465","Кичево"
"Кондо 2 Мирен сон","museum","075274490","Прилеп"
"Кузман Јосифовски Питу","museum","048401090","Прилеп"
"Леарница","museum","070356621","Крушево"
"Македониум","museum","071382721","Крушево"
"Мат Стар","museum","023224350","Скопје"
"Меморијален музејски комплекс во с.Врановци","museum","043231434","Велес"
"Меморијален центар на холокаустот на Евреите на Македонија","museum","023298025","Скопје"
"Мими","museum","048413165","Прилеп"
"Мире ЛПГ","museum","048424017","Прилеп"
"Музелов Ванчо","museum","026092876","Скопје"
"Музеј Теракота","museum","033361646","Виница"
"Музеј д-р Никола Незлобински","museum","046786644","Струга"
"Музеј на НОВ","museum","075202123","Крушево"
"Музеј на Република Северна Македонија","museum","023116044","Скопје"
"Музеј на албанска азбука","museum","076299008","Битола"
"Музеј на виното","museum","043366502","Демир Капија"
"Музеј на град Кратово","museum","031482015","Кратово"
"Музеј на град Неготино","museum","043361712","Неготино"
"Музеј на град Скопје","museum","023114742","Скопје"
"Музеј на македонската борба за самостојност","museum","023256668","Скопје"
"Музеј на олдтајмери","museum","075957440","Неготино"
"Музеј на современа уметност","museum","023117734","Скопје"
"Музеј на тетовскиот крај","museum","044338902","Тетово"
"Музеј на тетовскиот крај ЦК КПМ","museum","044336077","Тетово"
"Музеј на тутун","museum","048401090","Прилеп"
"Музеј-галерија","museum","043413470","Кавадарци"
"Музејска продавница","museum","023129323","Скопје"
"НУ Завод и музеј-Охрид","museum","046231300","Охрид"
"Народен музеј","museum","032443610","Свети Николе"
"Народен музеј","museum","043231434","Велес"
"Национален Конзерваторски Центар","museum","023227240","Скопје"
"Национална установа завод за заштита на спомениците на култура и музеј","museum","048401090","Прилеп"
"Национална установа музеј Гевгелија","museum","034218673","Гевгелија"
"Национална установа музеј Куманово","museum","031422495","Куманово"
"Николов Борис","museum","043222306","Велес"
"Нуркачки центар-Амфора","museum","070700865","Охрид"
"Природонаучен музеј","museum","023117669","Скопје"
"Пулс Општа Медицина","museum","043227333","Велес"
"Рубин козметика","museum","070870500","Кичево"
"Рустика","museum","070212114","Охрид"
"Св. Архангел Михаил","museum","","Берово"
"Св.Николај","museum","032393240","Штип"
"Св.Спас","museum","023163812","Скопје"
"Силвер-м","museum","071236660","Кичево"
"Смилевски Конгрес","museum","022633954","Скопје"
"Спомен дом Блаже Конески","museum","075240948","Прилеп"
"Спомен куќа Тоше Проески","museum","048477888","Крушево"
"Спомен куќа на Васил Главинов","museum","043231434","Велес"
"Спомен куќа на Коста Солев Рацин","museum","043231434","Велес"
"Спомен куќа на Мајка Тереза","museum","023290674","Скопје"
"Спомен куќа на народниот херој Страшо Пинџур","museum","043413470","Кавадарци"
"Споменик Пајонска свештеничка","museum","","Скопје"
"Споменик на Ѓорѓија Пулевски","museum","","Скопје"
"Таим","museum","070254910","Кавадарци"
"Уни банка АТМ","museum","","Скопје"
"Ураниа","museum","075362000","Охрид"
"Участак","museum","075240948","Прилеп"
"Хеар шоп","museum","078706666","Скопје"
"Хераклеа Линкестис","museum","047235329","Битола"
"Центар","museum","071358186","Кичево"
"Цуцули Гезим","museum","070223058","Кичево"
